方剂名称,方剂药物组成,主治,功效,日期,时间,备注：表格中不可出现合并单元格，不可出现特殊字符，否则将导致数据表无法正常展示。数据请填写在有相应列名的下方，无列名的区域内的数据将无法入库。时间格式填写时请选择正确的单元格格式：日期，具体时间格式请按照XXXX/XX/XX XX:XX书写，否则将无法入库。（为保障您上传的数据顺利入库，请选择2007及以上版本的office软件操作）
姜橘汤,白姜2钱（炮），陈橘皮（去白）1两，粉草（炙）3钱。,脾慢胃冷，呕吐不止；小儿寒吐，朝食暮吐，乳食不化，吐出之物不臭不酸，四肢逆冷，面唇色白。,温中定吐。,2021/5/19,2021/5/19 15:00,
急风散,白附子4枚（大者，去尖，生用），全蝎（去毒）5枚（炙），天南星1个（锉，炙深黄色），半夏10个（汤洗7次，去滑尽），天麻1分，腻粉半钱。,中风癔困不省。,,2021/5/19,2021/5/19 15:00,
急风散,丹砂1两，草乌头3两（一半生用，一半以火烧存性，于米醋内淬令冷），麝香（研）1分，生乌豆（同草乌一处为末）1分。,年深日远，偏正头痛，肝脏久虚，血气衰弱，风毒之气上攻，头眩目晕，心忪烦热，百节痠痛，脑昏目痛，鼻塞身重，皮肤瘙痒，面上游风，状若虫行，及一切头风，妇人血风攻疰。,现箭头；止血定痛。,2021/5/19,2021/5/19 15:00,
急风散,生川乌（炮，去皮脐）2两，辰砂（研，飞）2两，生南星（洗，去皮）4两。,偏正头痛，夹脑风，太阳穴痛，坐卧不安。小儿伤风，鼻塞清涕。,,2021/5/19,2021/5/19 15:00,
姜椒汤,生姜1两，椒（去目、汗）1两。,咳嗽，及短气胁痛。,,2021/5/19,2021/5/19 15:00,
姜椒汤,姜汁7合，蜀椒3合，半夏3两，桂心1两，附子1两，甘草1两，橘皮2两，桔梗2两，茯苓2两（1方不用甘草）。,胸中积聚痰饮，饮食减少，胃气不足，咳逆呕吐。,,2021/5/19,2021/5/19 15:00,
度瘴发汗青散,麻黄2两半，桔梗1两，细辛1两，吴茱萸1两，防风1两，白术1两，乌头1两6铢，干姜1两6铢，蜀椒1两6铢，桂心1两6铢。,伤寒，赤色，恶寒发热，头痛项强，体疼。兼辟时行病。,,2021/5/19,2021/5/19 15:00,
姜黄散,姜黄1两，当归1两（锉，微炒），熟干地黄1两，艾叶1两（微炒），鹿角胶1两（捣碎，炒令黄燥）。,妊娠胎漏，下血不止，腹痛。,,2021/5/19,2021/5/19 15:00,
姜黄散,姜黄（切碎，炒干）1两，蒲黄（微炒）1两，桂（去粗皮）1两。,产后血块攻冲，心腹痛。,,2021/5/19,2021/5/19 15:00,
保胎丸,茯苓4两，熟地4两，黄耆4两，艾炭4两，白术4两，白芍4两，当归4两，菟丝子4两，桑寄生2两，川芎2两，枳壳2两，川贝母1两，厚朴1两，荆芥穗1两，人参1两，羌活5钱，甘草5钱。,妊娠腰痠腹痛，胎动不安。,,2021/5/19,2021/5/19 15:00,
保胎丸,人参5钱，白术（去炒）1两，白茯苓1两，甘草7钱（炙），当归身（酒洗）1两，川芎（微炒）8钱，白芍药1两（炒），怀地黄2两（酒煮成膏），艾叶1两（蒸，焙），香附（4制）1两，陈皮1两，砂仁5钱，条黄芩（酒炒）1两，炒阿胶1两，益母膏4两，红枣肉4两，川蜜8两。,妇人怀孕，气血虚弱，不能荣养，面青呕吐，精神倦怠，四肢无力，或寒热往来，头晕眼花，胸膈不宽，不思饮食，恐动其胎。,,2021/5/19,2021/5/19 15:00,
姜桂丸,南星（洗）1两，半夏（洗）1两，官桂1两（去粗皮）。,寒痰咳嗽，脉沉，面黧黑，小便急痛，足寒而逆，心多恐怖。,,2021/5/19,2021/5/19 15:00,
姜枣丸,干生姜1斤，大枣4斤（去核，饧水洗，拌匀，焙干），陈橘皮（去白）1两。,中脘不快，呕吐无时。,安和脾胃，美进饮食。,2021/5/19,2021/5/19 15:00,
保胎丸,熟地2两5钱，砂仁2两5钱，生黄耆4两，白术（炒）4两，白芍4两，当归4两，艾炭4两，菟丝子4两，桑寄生3两，川芎3两，枳壳（炒）3两，厚朴（炙）1两，川贝母2两，芥穗1两，羌活5钱，甘草5钱，黄芩2两。,妊娠气虚，腰痠腹痛，胎动不安，屡经小产。,补气养血，保产安胎。,2021/5/19,2021/5/19 15:00,
南吕丸,黄芩4两，甘遂2钱，青礞石2钱，大黄8钱。,诸痰饮咳嗽，大便不利者。,,2021/5/19,2021/5/19 15:00,
既济豁痰汤,生地3钱，白芍1钱（炒），茯神3钱，钩藤3钱，丹皮1钱5分，当归2钱，柏子仁2钱，枣仁2钱（炒，研），龟版4钱。,头痛厥逆，痰聚胞络，目定口噤，手足冷不过肘膝，属阴虚有火者。,,2021/5/19,2021/5/19 15:00,
星乌石膏散,南星1两，草乌1两，石膏（煅）1两。,偏正头痛，头风注眼。,,2021/5/19,2021/5/19 15:00,
星半丸,南星（姜制）1两，半夏曲1两，凝水石1两，枯矾1两，僵蚕（炒）1两，干生姜1两。,诸般咳嗽。,,2021/5/19,2021/5/19 15:00,
宣毒发表汤,升麻、桔梗、甘草、焦栀、葛根、薄荷、前胡、牛蒡子、防风、苏叶、连翘、杏仁、银花各等分。,天行时气，发热昏闷。预防麻疹。,,2021/5/19,2021/5/19 15:00,
既济汤,半夏半两，麦门冬1两，甘草4钱，人参4钱，竹叶5片，熟附。,下利发热者。霍乱后虚烦不得眠。,,2021/5/19,2021/5/19 15:00,
指迷七气汤,广陈皮、杭青皮、藿香叶、芽桔梗、蓬莪术、香附米、法半夏、上肉桂、公丁香、益智仁、炙甘草。,小儿阴阳不升降，气道壅塞，腹痛寒热，多啼不乳。,疏利脏腑。,2021/5/19,2021/5/19 15:00,
宣毒发表汤,薄菏叶8分，葛根1钱，防风1钱，荆芥穗1钱，连翘1钱，牛蒡子（炒）1钱，木通1钱，枳壳1钱，淡竹叶1钱，升麻、桔梗、甘草。,麻疹发热，欲出未出。,,2021/5/19,2021/5/19 15:00,
桃枝汤,东引桃枝1把。,心腹痛，血痢，崩中下血。卒心痛。男子卒痢血。,,2021/5/19,2021/5/19 15:00,
挝脾汤,麻油4两，良姜15两，茴香（炒）7两半，甘草11两7钱半。,脾胃不快，宿酲留滞，呕吐酸水，心腹胀痛，不思饮食，伤冷泄泻。,常服快气，大解中酒，美进饮食。,2021/5/19,2021/5/19 15:00,
威灵仙散,威灵仙2两，独活1两，羚羊角屑1两，麦门冬1两（去心，焙），桂心1两，赤茯苓1两，防风1两（去芦头），细辛1两，麻黄1两（去根节），五加皮1两，薏苡仁1两。,中风。身如角弓反张，言语謇涩，心神烦乱。,,2021/5/19,2021/5/19 15:00,
复阳丹,附子（制）1两，炮姜1两，胡椒1两，北五味（炒）1两，炙甘草1两，白面2两（炒熟）。,阴寒呕吐、泄泻、腹痛、寒疝。,,2021/5/19,2021/5/19 15:00,
威灵仙丸,威灵仙（洗，焙）。,中风不语，手足不随，口眼斜，筋骨节风、胎风、头风、暗风、心风、风狂；伤寒头痛，鼻流涕；头旋目眩，白癜风；大风，皮肤风痒大毒，热毒风疮；劳疾连腰骨节风，绕腕风，言语涩滞，腹内宿滞，心头痰水，膀胱宿脓，口中涎水，好吃茶滓，手足顽痹，冷热气壅，腰膝疼痛，久立不得，浮气瘴气，憎寒壮热，头痛尤甚，攻耳成脓而聋，又冲眼赤；大小肠涩；黄疸、黑疸，面无颜色，瘰疬遍项，产后秘涩，（既月）腰痛曾经损坠，心痛注，气膈、气冷、气攻冲肾脏，风壅腹肚胀满，头面浮肿，注毒，脾肺气痰热咳嗽，气急坐卧不安，疥、癣等疮；妇人月水不来，动经多日，血气冲心；阴汗盗汗，（亚鸟）臭秽甚，气息不堪；痔疾秘涩，气痢绞结。,去众风，通十二经脉，宣通五脏。,2021/5/19,2021/5/19 15:00,
姜糖煎,生姜汁5合，沙糖4两。,老人上气，咳嗽气急，炽热，饮食不下，食即呕逆，腹内胀满。,,2021/5/19,2021/5/19 15:00,
姜桂大顺散,干姜、肉桂、杏仁、甘草。,呕吐酸水，脉弦迟者。,,2021/5/19,2021/5/19 15:00,
姜桂六君子汤,六君子汤加干姜、肉桂。,寒气呕吐。,,2021/5/19,2021/5/19 15:00,
姜桂汤,白姜（炮）半两，红豆半两，肉桂半两，丁香半两，粉草半两，缩砂仁（炒）半两，败姜（用灶心土炒）半两。,翻胃呕吐。,,2021/5/19,2021/5/19 15:00,
姜酥膏,酥3两，杏仁2两，阿胶2两，紫苏子2两，生姜汁1合，白蜜5合。,咳嗽端急，喉中似有物，唾脓血不止。,,2021/5/19,2021/5/19 15:00,
姜蜜汤,生姜汁1-2盏（煎沸2-3次），白砂蜜2-3盏（炼熟）。,呕吐恶心；老人上气，喘嗽不得卧。,,2021/5/19,2021/5/19 15:00,
复元通气散,柴胡（去白）3分，桂（去粗皮）3分，桃仁（去皮尖双仁，麸炒黄）3分，木香3分，吴茱萸3分，干姜（炮）3分，细辛（去毛叶）3分，桔梗（锉）3分，赤茯苓（去黑皮）3分，芎3分，大黄（锉，炒）2两。,诸气涩闭，耳聋头痛，腹皮痈疮无头，一切刺痛、痈肿。,和血。内消疮肿。,2021/5/19,2021/5/19 15:00,
姜黄散,生姜（切）4两，生地黄（切）8两。,室女经脉虚冷，月水来腹痛。,,2021/5/19,2021/5/19 15:00,
姜桂汤,干姜7分，肉桂7分，良姜7分，枳壳（去瓤，麸炒）1钱，陈皮1钱，砂仁1钱，厚朴（姜汁炒）1钱，吴茱萸（炒）1钱，香附1钱半，木香5分（另研入服），甘草2分。,寒腹痛。,,2021/5/19,2021/5/19 15:00,
姜桂散,干姜（炮）3两，甘草1两（锉，2味用砂糖2两，水微化开，同炒干），桂（去粗皮）1分。,洞泄、飧泄，里急后重，腹痛。顷刻间咽喉痛极难忍。,止虚渴。,2021/5/19,2021/5/19 15:00,
厚肠丸,川乌（炮）1两，肉桂1两，硫黄（另研）1两，赤石脂（煅）1两，干姜（炒）2两。,脾虚伤食，大便下赤白脓，肠鸣腹痛，泄下，米谷不化；小儿脾虚滑泄脱肛，疳瘦。,,2021/5/19,2021/5/19 15:00,
厚朴散,厚朴1两半（去粗皮，涂生姜汁，炙令香熟），前胡1两（去芦头），桂心1两，石膏1两，赤芍药1两，贝母1两（煨令微黄），甘草1两（炙微赤，锉），杏仁3分（汤浸，去皮尖双仁，麸炒微黄）。,肺脏伤风冷，咳嗽，头痛不可忍，及多涕。寒中之病，目泣自出。,,2021/5/19,2021/5/19 15:00,
厚朴散,厚朴（去粗皮，锉，姜汁浸1宿，炒）4两，生姜2斤（净洗，切片，熬干，炒令紫色），甘草（锉，炒）2两，陈橘皮（汤浸，去白，炒）6两，草豆蔻（去皮，锉细，炒）2两。,呕吐不食。,消痰下气。,2021/5/19,2021/5/19 15:00,
厚朴散,厚朴1分（去粗皮，涂生姜汁，炙令香熟），枳壳1分（麸炒微黄，去瓤），诃黎勒1分（煨，用皮），当归1分（锉，微炒），赤芍药1分。,小儿曩痢，两胁虚胀，腹痛，不欲饮食。小儿冒风泄泻。,,2021/5/19,2021/5/19 15:00,
星香散,南星（炮）2钱，木香1钱，净陈皮1钱，全蝎2个（焙），甘草（炙）半钱。,小儿痉痓，中风。,,2021/5/19,2021/5/19 15:00,
星香散,南星8钱，木香1钱，生姜14片。,气盛人卒中，昏不知人，口眼斜，半身不遂，咽喉作声，痰气上壅。中风体肥，痰盛，口不渴者。,,2021/5/19,2021/5/19 15:00,
宣脑散,川楝3分，苦丁香20个，山栀子2个。,气虚头痛。,,2021/5/19,2021/5/19 15:00,
厚朴三物汤,厚朴8两，大黄4两，枳实5枚。,腹满痛，大便闭。腹满发热数10日。腹中热，大便不利。暑湿腹痛，大便结。食积痛，寒饮食过伤，心腹卒痛，如锥刺之状，若伤湿热之物，不得化而闷乱便秘者。,,2021/5/19,2021/5/19 15:00,
前胡汤,前胡1两，石膏2两，豆豉（熬焦）3合，桔梗3分，甘草半两。,伤寒，病人脉浮数，或紧或缓，其脉上出鱼际，寸脉力大于关脉，发热冒闷，口燥咽干，清明以后至芒种以前得者。,,2021/5/19,2021/5/19 15:00,
前胡木香煮散,前胡（去苗，锉）1两，柴胡（去苗）1两，木香1两，秦艽（去芦头）1两，官桂1两，舶上茴香1两，槟榔3个（面裹煅熟用），豆蔻1个（去皮），芎、甘草半两（炙黄），青橘皮（汤浸去白瓤，焙）半两，甜葶苈半两（微炒）。,胃寒肠热，食已复饥，小腹痛。,调顺三焦，平和胃气。,2021/5/19,2021/5/19 15:00,
养营清热和中汤,当归（酒洗）1钱，白芍药（炒）8分，生地黄（酒洗）1钱，白术1钱，白茯苓8分，黄芩（炒）8分，黄柏（炒）7分，生甘草5分，香附（童便浸）4分，陈皮（去白）4分，贝母5分，山栀仁（炒）6分，麦门冬（去心）7分。,风热郁结，头目昏眩，咳嗽。,养阴，清热，和中。,2021/5/19,2021/5/19 15:00,
前胡散,前胡（去芦头）3分，麻黄（去根节）3分，桂心3分，甘草（炙微赤，锉）3分，葛根（锉）3分，百部3分，贝母（煨令微黄）3分，柴胡1两（去苗），石膏2两。,伤寒咳嗽，头目痛，痰滞胸膈不利。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两半（去芦头），旋覆花3分，防风1两（去芦头），甘草半两（炙微赤，锉），飞廉半两，黄芩半两，杜若半两，防己半两，赤茯苓1两，石膏2两，芎半两。,头风头眩，痰逆头痛，水浆不下。,,2021/5/19,2021/5/19 15:00,
养真汤,苍术（净）4两（用姜4两制，微炒黄色，同炒），厚朴4两（去皮，同上制炒），人参1两，1两，白术1两，木香1两，藿香1两，茯苓（去皮）1两，青皮（去白）1两，陈皮1两，槟榔1两，缩砂1两，广术（煨）1两，泽泻1两，甘草（锉，炒）1两，干姜1两，小枣70个（焙干）。,脾胃不和，中脘气闷，心腹胀满，不思饮食，呕吐痰噫，逆气吞酸，面色痿黄，肌肉消疲，腹胁刺痛，便利不调，或泻痢不止，少力嗜卧，体重节重，五劳七伤，山岚瘴气，八般疟疾，及治咳嗽，脾胃虚弱，食饮不化，,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两（去芦头），子芩1两，贝母1两（煨令微黄），麦门冬1两（去心），半夏半两（汤浸7遍去滑），人参1两（去芦头），赤茯苓1两，木香半两，陈橘皮1两（汤浸，去白瓤，焙），甘草半两（炙微赤，锉）。,妊娠伤寒头痛，身体烦热，胸胁气滞，呕逆不止。,,2021/5/19,2021/5/19 15:00,
厚朴七枣汤,厚朴1斤，川乌头半斤，茴香半斤，益智半斤，缩砂半斤，干姜4两，甘草6两。,脾胃虚弱，内变寒气，泄泻注下，水谷不分，腹胁胀满，脐腹疼痛，腹中虚鸣，呕吐恶心，胸膈痞闷，困倦少力，不思饮食。,,2021/5/19,2021/5/19 15:00,
厚朴七物汤,厚朴半斤，甘草3两，大黄3两，大枣10枚，枳实5枚，桂枝2两，生姜5两。,病腹满，发热10日，脉浮而数，饮食如故。腹满气胀。,,2021/5/19,2021/5/19 15:00,
前胡丸,前胡6分，乌头（炮）2枚，桔梗2分，干姜2分，桂心8分，蜀椒8分（汗）。,新久咳嗽，昼夜不得卧，咽中水鸡声，欲死者。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两（去芦头），赤茯苓3分，柴胡1两（去苗），赤芍药3分，枳壳1两（麸炒微黄，去瓤），诃黎勒1两（煨，用皮），桂心3分，白术3分，甘草半两（炙微赤，锉）。,伤寒，心腹痞满，头痛，四肢烦疼。,,2021/5/19,2021/5/19 15:00,
养液通痹汤,苏薄荷1钱半，杭菊花3钱，冬桑叶3钱，荷叶3钱，鲜生地5钱，鲜石斛1钱半，麦冬4钱，金银花4钱，京玄参3钱，原蚕砂3钱，米仁6钱，萆薢3钱，秦艽1钱半。,伏瘟终后期，心神清醒后，身热未清，口渴舌燥，头痛甚剧，项筋疼胀，身不转侧，去汗，但头汗出，左关脉弦数者。,,2021/5/19,2021/5/19 15:00,
养血百补丸,人参半两，牡丹半两，槟榔半两，吴茱萸半两，肉豆蔻半两，白芍药半两，泽泻半两，木香半两，远志半两，缩砂半两，枳壳半两，柴胡半两，麻黄半两，麝香半两，盐半两，乌梅2两，知母1两，升麻1两，甘草1两，鳖甲1两，苁蓉1两，白蔹1两，葳蕤1两，虎骨1两，桃仁1两，羌活1两，防风1两，茯苓1两，附子1两，青蒿1两，秦艽1两，厚朴1两，牛膝1两，半夏1两，桂1两。,真元衰弱，营卫虚微，久病羸瘦，咳嗽痰涎，唾如胶粘，或如红物，手足心热，虽思饮食而吃不多，睡眠不安，肩背拘急，百节烦疼，足胫痿弱，行步无力，腹中如空，气短喘促，精神烦扰，郁抑悲啼。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两（去芦头），葛根半两（锉），桂心半两，旋覆花半两，麻黄2两（去根节），杏仁1两（汤浸，去皮尖双仁，麸炒微黄）。,热病2日，口苦咽干，头痛壮热。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两（去芦头），芦根1两，犀角屑3分，葛根3分（锉），麦门冬1两半（去心），石膏1两，人参3分（去芦头），陈橘皮3分（汤浸去白瓤，焙），甘草1分（炙微赤，锉）。,时气，壮热头痛，呕逆不能食。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两（去芦头），麦门冬1两半（去心），贝母1两（煨微黄），桑根白皮1两（锉），杏仁半两（汤浸，去皮尖双仁，麸炒微黄），甘草1分（炙微赤，锉）。,咳嗽，涕唾稠粘，心胸不利，时有烦热。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡半两（去芦头），桔梗半两（去芦头），桑根白皮半两（锉），人参半两（去芦头），款冬花半两，大腹皮半两（锉），半夏半两（汤洗7遍去滑），陈橘皮半两（汤浸，去白瓢，焙），甘草1分（炙微赤，锉），杏仁半两（汤浸，去皮尖双仁，麸炒微黄），枳实3分（麸炒微黄）。,咳嗽，气急不下食，食则呕吐，心胸满闷。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡1两（去芦头），陈橘皮1两（汤浸，去白瓢，焙），当归1两（锉，微炒），赤茯苓1两，白术1两，赤芍药1两，桂心1两，半夏半两（汤洗7遍去滑），干姜半两，吴茱萸半两（汤浸7遍，焙干，微炒）。,久冷，胸膈气滞，心腹痛，胀满，不能饮食，四肢虚乏，吃食全少。,,2021/5/19,2021/5/19 15:00,
养胃汤,川芎1钱，当归3钱，藿香4分，炙草4分，茯苓1钱，苍术1钱，人参1钱，陈皮4分。,类疟疾，头痛无汗。,,2021/5/19,2021/5/19 15:00,
养胃汤,人参、橘红、白豆蔻仁、丁香、砂仁、肉豆蔻、附子（炮）、沉香、麦芽（炒）、神曲（炒）、甘草（炙）各等分。,脾胃虚冷，不思饮食，呕吐翻胃。,,2021/5/19,2021/5/19 15:00,
养荣丸,黄耆8分，当归8分，桂心8分，甘草8分，陈皮8分，白术1钱，人参1钱，白芍1钱，生地1钱，五味子9粒，茯苓2钱，远志2钱。,五疸，体弱血虚，口淡耳响，微寒发热，小便白浊。,,2021/5/19,2021/5/19 15:00,
养胃丹,丁香1两半，白豆蔻仁半两，人参3分，甘草半两（炙），干姜3两（炮，用干生姜尤佳），半夏曲半两。,脾胃不和，全不思食，中脘停寒，呕逆恶心，脏寒泄痢，腹痛肠呜。,温中养胃，散饮思食。,2021/5/19,2021/5/19 15:00,
养胃汤,白蔻仁2钱半，人参2钱半，丁香2钱半，缩砂仁2钱半，肉豆蔻2钱半，炮附子2钱半，粉草（炙）2钱半，沉香2钱半，橘红2钱半，麦芽2钱半，神曲2钱半。,脾胃虚冷，不思饮食，翻胃呕吐。,,2021/5/19,2021/5/19 15:00,
前胡汤,前胡（去芦头）6两，羌活（去芦头）6两，防风（去叉）4两，桔梗（炒）3两，荠苨（去芦头，锉）2两，蛇蜕皮1两（剪碎，炒令黄），陈橘皮（汤浸，去白，焙干称）半两，蝉壳（净去土）1两，甘草（炙，锉）1两半，人参2两。,伤寒头痛，恶寒发热，肢体疼倦。,,2021/5/19,2021/5/19 15:00,
养荣汤,黄耆1两，当归1两，桂心1两，甘草（炙）1两，橘皮1两，白术1两，人参1两，白芍药3两，熟地黄3分，五味子3分，茯苓3分，远志（去心，炒）半两。,心脾气虚，营血不足，倦怠无力，食少气短，惊悸健忘，夜寐不安，虚热自开，咽干唇燥，消瘦，咳嗽痰白，皮肤干枯；或疮疡溃后气血不足，寒热不退，体倦瘦弱，食少气逆，疮口久不收敛。,养荣。三阴并补，气血交养。,2021/5/19,2021/5/19 15:00,
前胡枳壳汤,前胡（去芦头）1两，人参1两，赤茯苓（去黑皮）1两，枳壳（去瓤，麸炒）半两，半夏（汤洗7遍去滑，焙）半两，桔梗（炒）半两，甘草（炙，锉）半两，桑根白皮（锉）半两，旋覆花（微妙）半两，麦门冬（去心，焙）3分。,上焦热结，头痛昏眩，胸膈烦闷，涕唾稠粘，痰实恶心，不欲饮食。,,2021/5/19,2021/5/19 15:00,
前胡散,前胡2两（去芦头），黄芩3分，甘草半两（生，锉），知母1两，牡蛎1两（烧，为粉），石膏2两。,乳石发动，头痛寒热，如伤寒，又似疟状。,,2021/5/19,2021/5/19 15:00,
养荣丸,白术（土炒）1两，黄耆1两，芍药1两，远志1两，当归（酒洗）1两，山药1两，熟地黄1两，陈皮8钱，人参1两，白茯苓2两，山茱萸半两，生地黄半两。,脾肺气虚，荣血不足，惊悸健忘，寝汗发热，食多无味，身体疲瘦，色枯气短，毛发脱落，小便赤涩；亦治发汗过多，身振肢摇，筋惕肉瞤。,,2021/5/19,2021/5/19 15:00,
前胡苏子饮,前胡、苏子、枳壳、半夏、橘红、桔梗、甘草。,哮病，外有感冒，身发热者。,,2021/5/19,2021/5/19 15:00,
前胡汤,前胡（去芦头）3两，细辛（去苗叶）3两，芎3两，麻黄（去根节，先煎，掠去沫，焙）3两，杏仁（去皮尖双仁，炒黄色）3两，枳壳（去瓤，麸炒）3两，防风（去叉）3两，泽泻3两，芍药3两，茯神（去木）4两，白术2两，旋覆花2两，甘草（擘破，炙）2两半，干姜（炮裂）2两半，半夏3两（水煮三五十沸，薄切放干，入生姜汁拌，炒黄色）。,妊娠伤寒，头痛恶寒，浑身壮热。,,2021/5/19,2021/5/19 15:00,
前胡汤,前胡（去苗）3分，半夏（汤洗三度去滑，焙）3分，枳壳（去瓤，麸炒）3分，赤茯苓（去黑皮）3分，芦根（锉碎）3分，麦门冬（去心，焙）3分，旋覆花半两。,脚气多痰，膈壅头痛。,,2021/5/19,2021/5/19 15:00,
养肺止嗽丹,百合6两，生地3两，紫菀4两，川贝5两，白果4两，兜铃4两，天冬4两，五味子2两，枳壳2两，莱菔2两，木香3两，麻黄（炙）3两，白芍3两，杏仁4两，甘草4两，草蔻3两，苏子2两，蒌仁5两，玄参3两，陈皮3两，当归5两，京知母4两，熟地3两，阿胶珠8两，冬花3两，麦冬3两，橘红4两，乌药3两，桔梗2两，桑皮4两，槟榔3两，川朴4两，苏叶3两，粟壳10两，黄芩2两，茯苓3两。,新久咳嗽，痰中带血，痨伤咳嗽，骨蒸潮热，痰喘气短，身瘦食少，倦怠乏力，虚劳盗汗。,化痰止嗽，养肺补气。,2021/5/19,2021/5/19 15:00,
养阴清肺汤,大生地2钱，麦冬1钱2分，生甘草5分，玄参1钱半，贝母8分（去心），丹皮8分，薄荷5分，炒白芍8分。,喉间起白如腐，即所谓白缠喉也。初起发热，或不发热，鼻干唇燥，或咳或不咳，鼻通者轻，鼻塞者重，音声清亮，气息调匀易治。白喉。喉间起白如腐，不易拔去，咽喉肿痛，初起发热，或不发热，鼻干唇燥，或咳或不咳，呼吸有声，似喘非喘。,养阴润燥，清肺利咽。,2021/5/19,2021/5/19 15:00,
前胡汤,前胡（去芦头）1两，升麻1两，麻黄（先煮，掠去沫，焙）1两，人参1两，羚羊角（镑）1两，白术1两，陈橘皮（去白，炒）3分，甘草（炙）1分。,妊娠伤寒，憎寒发热，头痛身疼。,,2021/5/19,2021/5/19 15:00,
养阴辟邪丹,当归5钱，白芍5钱，柴胡1钱，甘草1钱，蔓荆子5分，川芎3钱，天花粉1钱，茯苓3钱。,饥饱劳役，伤损津液，以致口渴舌干，又感风邪，头痛发热者。,,2021/5/19,2021/5/19 15:00,
养荣归脾汤,熟地8钱，酸枣仁2钱（炒，研），鸡腿白术3钱（炒黄），白芍1钱2分（酒炒），白茯苓1钱5分，牛膝2钱，麦冬2钱（炒燥），五味子6分，上肉桂（去皮）8分。,一切劳伤发热，咳嗽吐血，似疟非疟，懒食倦怠，寸洪尺弱。,,2021/5/19,2021/5/19 15:00,
养肺汤,紫苑（去土）半两，款冬花半两，杏仁半两，五味子半两，白茯苓1两，半夏1两（汤洗10余次），桂半两（去粗皮），桔梗半两（微炒），紫苏子半两（微炒）。,肺感寒邪，上气喘急，咳嗽无时，声音不出，痰唾稠。,,2021/5/19,2021/5/19 15:00,
养肺煎,阿胶1两，人参1两，五味子1两，贝母1两，百合1两，桔梗1两，芍药1两，甘草、半夏曲各减半。,肺虚咳嗽。,,2021/5/19,2021/5/19 15:00,
养津汤,柴胡1钱，半夏1钱，甘草1钱，蔓荆子1钱，丹皮3钱，麦冬3钱，玄参4钱，神曲5分。,饥饱劳役，伤损津液，口渴舌干，又感风邪，头痛发热。,补血养阴。,2021/5/19,2021/5/19 15:00,
前胡汤,前胡（去芦头）、麦门冬（去心，焙）、人参、淡竹茹、芍药、陈橘皮（汤去白，焙）、半夏（汤洗7遍，焙）各等分。,呕吐不下食。,,2021/5/19,2021/5/19 15:00,
前胡汤,前胡8分，升麻8分，贝母6分，紫菀6分，石膏12分（碎，绵裹），麦门冬8分（去心），杏仁30枚（去皮尖双仁），竹叶（切）1升，甘草2分（炙）。,天行壮热咳嗽，头痛心闷。,,2021/5/19,2021/5/19 15:00,
养胃丸,子丁香2两，甘草2两，陈皮2两，神曲（炒）2两，麦芽（炒）2两，大附子（童便制）8钱，砂仁1两2钱，肉豆蔻（面包煨）1两2钱，白豆蔻1两2钱。,脾胃虚冷，不思饮食，翻胃呕吐。,,2021/5/19,2021/5/19 15:00,
养肝活络汤,当归2钱，白芍（酒炒）1钱，肉桂1钱，蜜耆1钱半，熟地2-3钱，秦艽1钱，防风1钱，木瓜1钱，阿胶（炒）1钱，白术1钱半。,产后中风，血虚不能养肝，以致木动风摇，角弓反张，神昏扑倒。,,2021/5/19,2021/5/19 15:00,
前胡白术汤,前胡（去芦头）2两，白术2两，防风（去叉）2两，柴胡（去苗）1两半，熏草1两半，白鲜皮1两半，石膏（碎）3两，麻黄（去根节，煎，掠去沫）4两，甘草（炙）1两。,中风伤寒，百节痠疼。,,2021/5/19,2021/5/19 15:00,
前胡丸,前胡（去芦头）3分，白术3分，枳壳（去瓤，麸炒）3分，半夏（汤洗7次，去滑）3分，赤茯苓（去黑皮）3分，人参3分，白矾半两（枯），丁香1分。,风头旋。风痰不散，食逆呕吐。,,2021/5/19,2021/5/19 15:00,
养血调经膏,当归10两，川附片10两，小茴香10两，良姜10两，川芎10两，木香10两。,妇女子宫寒冷，经血不调，腹痛，带下。,养血，散寒，止痛。,2021/5/19,2021/5/19 15:00,
养血通经汤,牡丹皮1钱7分，当归1钱7分，白芍1钱，陈皮1钱，白术（去芦）1钱，香附1钱，川芎7分，柴胡7分，黄芩7分，甘草4分，生地黄1钱。,室女经闭，咳嗽发热，属虚弱者。,,2021/5/19,2021/5/19 15:00,
养血清心丸,当归（酒洗）10钱，麦冬6钱，川芎10钱，白芍10钱，防风（去梢）10钱，黄芩8分，荆芥8分，青皮8分，黄连10钱，薄荷5钱，牛黄2钱，甘草3钱。,凡人口吃，语言謇涩者，心血虚而火亢甚也，轻者语涩，重者口眼斜，医误为中风者。,,2021/5/19,2021/5/19 15:00,
南荆散,天南星1个（重1两），荆芥穗1两。,风痰头痛不可忍者。,,2021/5/19,2021/5/19 15:00,
